SITE,PLOT,BRC_number,BRC_names,Amalgams,Amalgam_names,NEST,COV,YR,Yr_2,Bryo,Woody,Field_sheet
1,1,9205,Acer pseudoplatanus,9205,Acer pseudoplatanus,2,1,1971,1,,w,Ground flora
1,1,92040,Agrostis capillaris,92040,Agrostis capillaris,4,3,2003,2,,,Ground flora
1,1,820395,Plagiomnium undulatum,820395,Plagiomnium undulatum,,-1,1971,1,b,,Ground flora
1,1,920105,Anemone nemorosa,920105,Anemone nemorosa,4,0.5,2003,2,,,Ground flora
1,1,920432,Castanea sativa,920432,Castanea sativa,4,0.5,1971,1,,,Ground flora
1,1,920432,Castanea sativa,920432,Castanea sativa,1,2,2003,2,,,Ground flora
1,1,920541,Conopodium majus,920541,Conopodium majus,5,0.5,2003,2,,,Ground flora
1,1,920607,Dactylis glomerata,920607,Dactylis glomerata,3,0.5,1971,1,,,Ground flora
1,1,920687,Hyacinthoides non-scripta,920687,Hyacinthoides non-scripta,1,30,2003,2,,,Ground flora
1,1,920810,Fagus sylvatica,920810,Fagus sylvatica,2,0.5,2003,2,,w,Ground flora
1,1,920816,Festuca gigantea,920816,Festuca gigantea,1,15,1971,1,,,Ground flora
1,1,920862,Lamiastrum galeobdolon,920862,Lamiastrum galeobdolon,5,0.5,1971,1,,,Ground flora
1,1,920868,Galeopsis tetrahit agg.,920868,Galeopsis tetrahit agg.,4,0.5,2003,2,,,Ground flora
1,1,920873,Galium aparine,920873,Galium aparine,5,0.5,2003,2,,,Ground flora
1,1,920878,Galium saxatile,920878,Galium saxatile,5,0.5,2003,2,,,Ground flora
1,1,920878,Galium saxatile,920878,Galium saxatile,2,0.5,1971,1,,,Ground flora
1,1,920983,Holcus lanatus,920983,Holcus lanatus,4,1,2003,2,,,Ground flora
1,1,920984,Holcus mollis,920984,Holcus mollis,1,35,2003,2,,,Ground flora
1,1,920984,Holcus mollis,920984,Holcus mollis,4,0.5,1971,1,,,Ground flora
1,1,820249,Eurhynchium praelongum,8201146,Eurhynchium sp.,,-1,1971,1,b,,Ground flora
1,1,8201147,Fissidens sp.,8201147,Fissidens sp.,,-1,1971,1,b,,Ground flora
1,1,9101619,Pteridium aquilinum,9101619,Pteridium aquilinum,1,8,2003,2,,,Ground flora
1,1,9101619,Pteridium aquilinum,9101619,Pteridium aquilinum,1,90,1971,1,,,Ground flora
1,1,9201188,Lonicera periclymenum,9201188,Lonicera periclymenum,1,5,1971,1,,w,Ground flora
1,1,9201305,Moehringia trinervia,9201305,Moehringia trinervia,5,0.5,2003,2,,,Ground flora
1,1,9201484,Pinus sylvestris,9201484,Pinus sylvestris,,,0,2,,w,Ground flora
1,1,9201611,Prunus avium,9201611,Prunus avium,1,0.5,2003,2,,w,Ground flora
1,1,9201728,Rubus fruticosus agg.,9201728,Rubus fruticosus agg.,1,50,1971,1,,,Ground flora
1,1,9202010,Stellaria holostea,9202010,Stellaria holostea,2,1,2003,2,,,Ground flora
1,1,9202010,Stellaria holostea,9202010,Stellaria holostea,2,5,1971,1,,,Ground flora
